Protein_name	Condition1_Rep_1_Frac1	Condition1_Rep_1_Frac2	Condition1_Rep_1_Frac3	Condition1_Rep_1_Frac4	Condition1_Rep_1_Frac5	Condition1_Rep_1_Frac6	Condition1_Rep_1_Frac7	Condition1_Rep_1_Frac8	Condition1_Rep_1_Frac9	Condition1_Rep_1_Frac10	Condition1_Rep_1_Frac11	Condition1_Rep_1_Frac12	Condition1_Rep_1_Frac13	Condition1_Rep_1_Frac14	Condition1_Rep_1_Frac15	Condition1_Rep_1_Frac16	Condition1_Rep_1_Frac17	Condition1_Rep_1_Frac18	Condition1_Rep_1_Frac19	Condition1_Rep_1_Frac20	Condition1_Rep_1_Frac21	Condition1_Rep_1_Frac22	Condition1_Rep_1_Frac23	Condition1_Rep_1_Frac24	Condition1_Rep_1_Frac25	Condition1_Rep_1_Frac26	Condition1_Rep_1_Frac27	Condition1_Rep_1_Frac28	Condition1_Rep_1_Frac29	Condition1_Rep_1_Frac30	Condition1_Rep_1_Frac31	Condition1_Rep_1_Frac32	Condition1_Rep_1_Frac33	Condition1_Rep_1_Frac34	Condition1_Rep_1_Frac35	Condition1_Rep_1_Frac36	Condition1_Rep_1_Frac37	Condition1_Rep_1_Frac38	Condition1_Rep_1_Frac39	Condition1_Rep_1_Frac40	Condition2_Rep_1_Frac1	Condition2_Rep_1_Frac2	Condition2_Rep_1_Frac3	Condition2_Rep_1_Frac4	Condition2_Rep_1_Frac5	Condition2_Rep_1_Frac6	Condition2_Rep_1_Frac7	Condition2_Rep_1_Frac8	Condition2_Rep_1_Frac9	Condition2_Rep_1_Frac10	Condition2_Rep_1_Frac11	Condition2_Rep_1_Frac12	Condition2_Rep_1_Frac13	Condition2_Rep_1_Frac14	Condition2_Rep_1_Frac15	Condition2_Rep_1_Frac16	Condition2_Rep_1_Frac17	Condition2_Rep_1_Frac18	Condition2_Rep_1_Frac19	Condition2_Rep_1_Frac20	Condition2_Rep_1_Frac21	Condition2_Rep_1_Frac22	Condition2_Rep_1_Frac23	Condition2_Rep_1_Frac24	Condition2_Rep_1_Frac25	Condition2_Rep_1_Frac26	Condition2_Rep_1_Frac27	Condition2_Rep_1_Frac28	Condition2_Rep_1_Frac29	Condition2_Rep_1_Frac30	Condition2_Rep_1_Frac31	Condition2_Rep_1_Frac32	Condition2_Rep_1_Frac33	Condition2_Rep_1_Frac34	Condition2_Rep_1_Frac35	Condition2_Rep_1_Frac36	Condition2_Rep_1_Frac37	Condition2_Rep_1_Frac38	Condition2_Rep_1_Frac39	Condition2_Rep_1_Frac40	Condition3_Rep_1_Frac1	Condition3_Rep_1_Frac2	Condition3_Rep_1_Frac3	Condition3_Rep_1_Frac4	Condition3_Rep_1_Frac5	Condition3_Rep_1_Frac6	Condition3_Rep_1_Frac7	Condition3_Rep_1_Frac8	Condition3_Rep_1_Frac9	Condition3_Rep_1_Frac10	Condition3_Rep_1_Frac11	Condition3_Rep_1_Frac12	Condition3_Rep_1_Frac13	Condition3_Rep_1_Frac14	Condition3_Rep_1_Frac15	Condition3_Rep_1_Frac16	Condition3_Rep_1_Frac17	Condition3_Rep_1_Frac18	Condition3_Rep_1_Frac19	Condition3_Rep_1_Frac20	Condition3_Rep_1_Frac21	Condition3_Rep_1_Frac22	Condition3_Rep_1_Frac23	Condition3_Rep_1_Frac24	Condition3_Rep_1_Frac25	Condition3_Rep_1_Frac26	Condition3_Rep_1_Frac27	Condition3_Rep_1_Frac28	Condition3_Rep_1_Frac29	Condition3_Rep_1_Frac30	Condition3_Rep_1_Frac31	Condition3_Rep_1_Frac32	Condition3_Rep_1_Frac33	Condition3_Rep_1_Frac34	Condition3_Rep_1_Frac35	Condition3_Rep_1_Frac36	Condition3_Rep_1_Frac37	Condition3_Rep_1_Frac38	Condition3_Rep_1_Frac39	Condition3_Rep_1_Frac40
Protein0011	0	0	0	0	0	0	0	0	8357100	0	0	0	0	0	0	0	0	0	0	0	0	0	2351300	0	5026900	0	0	0	0	8580900	5074200	40357000	385400000	255670000	482890000	293440000	163600000	76840000	47699000	24420000	0	0	0	0	2939200	1138100	3349800	1438300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11858000	13371000	20252000	46537000	55421000	69996000	41517000	81232000	2481100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10843000	0	0	0
Protein0012	0	0	0	0	0	0	0	3833500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55288000	22557000	415450000	550430000	27703000	0	0	0	0	0	0	3590000	25946000	756090000	822550000	2188400000	4784800000	26078000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75729000	77666000	167310000	98092000	177060000	177760000	60031000	0	9090700	1225600	3849000	14481000	12677000	37808000	841800000	16468000000	51593000000	68087000000	1.01E+11	92462000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20843000	20612000	47941000	659840000	29834000	68496000	0	0	0	0	7459100	17559000	13304000	104470000	1486900000	13536000000	22518000000	31060000000	33727000000
Protein0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14887000	0	59643000	24408000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5972300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34211000	30338000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0014	54678000	86724000	35313000	25522000	17784000	53331000	36585000	104950000	97382000	177570000	125020000	105670000	143710000	141390000	176190000	248680000	153720000	236980000	58896000	180490000	628950000	725960000	443240000	274600000	1862600000	754640000	676460000	142500000	164170000	1386100000	380480000	525480000	1761500000	601410000	754600000	240960000	439550000	329700000	306890000	272880000	42762000	41100000	31699000	58643000	34759000	14844000	22447000	23860000	39429000	46220000	7987600	34976000	43054000	32091000	67765000	82153000	25756000	58623000	62007000	35237000	109400000	33274000	26791000	0	9124600	5896000	10768000	0	11324000	24732000	19525000	268130000	194670000	199640000	256780000	145760000	145890000	97822000	97600000	48491000	21720000	9965500	4782400	5561800	0	0	0	7818000	0	0	0	0	0	3632500	6304100	2969300	0	53914000	39886000	0	133690000	78843000	22417000	73300000	57286000	78823000	150680000	50638000	179120000	276530000	248490000	192730000	223210000	42673000	27234000	12268000	21205000	0	0	0
Protein0015	4563900	23234000	41940000	54030000	29863000	94166000	70186000	33087000	64722000	54964000	32625000	10477000	0	11086000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4859300	25919000	37432000	137120000	50519000	46987000	70849000	32631000	28280000	16268000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2884200	24509000	34224000	16468000	12535000	9789800	12000000	2663900	3154900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0016	101120000	148590000	134280000	129580000	104370000	288510000	197280000	280150000	167740000	235980000	176170000	338980000	528970000	207130000	165850000	202150000	74447000	115450000	4310800	14552000	18470000	29444000	26300000	18641000	107130000	59904000	6793600	1036900	2626500	181410000	173080000	474700000	1732100000	538510000	543280000	419040000	180390000	97798000	44218000	50024000	77150000	143060000	82468000	271720000	320040000	100150000	261610000	177180000	145770000	291560000	78938000	140620000	115980000	132190000	135380000	148480000	28653000	23470000	33311000	18715000	19039000	13756000	0	0	0	0	0	0	0	0	4889100	196980000	120650000	61606000	97316000	85901000	120860000	130040000	182990000	34755000	71238000	90913000	158250000	267010000	214880000	267390000	182930000	226470000	70490000	59942000	2126200	52797000	49828000	98270000	88469000	26415000	0	13577000	0	0	3849100	12060000	0	5886200	36335000	16678000	35697000	0	8560800	18807000	7666200	19374000	41087000	10350000	2575200	0	9068900	7073000	2215500	0
Protein0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49781000	83807000	185810000	85506000	126340000	778590000	105950000	47682000	65596000	15350000	0	0	0	0	0	0	6953000	23438000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45617000	0	56895000	16928000	31972000	15336000	0	0	0	0	0	0	0	0	0	0	13950000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55182000	73721000	604580000	162050000	425940000	266790000	21393000	30972000	12687000	19532000	0	0	0	0	0	0
Protein0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8605400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2432300	22062000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3920800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1260400	5999000	0	0	0	2539700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12103000	43007000	15616000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1221000	13481000	0	3623300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114510000	10200000	56583000	133410000	37500000	5221000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0020	127120000	266290000	196290000	129400000	290440000	87801000	88767000	294490000	109660000	314900000	383430000	433500000	335580000	221370000	297030000	3308200000	1086500000	970090000	2282200000	1726200000	431360000	3178100000	10525000000	19561000000	9479900000	24335000000	43885000000	19960000000	5525800000	2587500000	3744800000	25339000000	1854200000	2310500000	7538600000	9212800000	3515400000	3909700000	6403700000	11266000000	872470000	1538700000	967250000	1225600000	1209100000	3133900000	2087100000	3640800000	2081300000	3251700000	2833500000	2661300000	1852100000	313540000	813170000	589390000	1465900000	772090000	830180000	358060000	556400000	1043200000	1687500000	14999000000	15593000000	38985000000	31463000000	87755000000	11498000000	7259000000	12950000000	2827400000	20261000000	14067000000	4281600000	5153500000	1351000000	2423600000	808210000	4654600000	69488000	65365000	12186000	28095000	27373000	155620000	2037600	2962500	2194500	3229500	18129000	6494900	26836000	20456000	0	245740000	1712400000	0	213750000	4008200000	127730000	1280700000	3324900000	1914300000	1934900000	3299100000	2114300000	12433000000	3055600000	909450000	1583900000	1089000000	1223300000	11126000000	3719200000	3329000000	1123300000	905580000	383780000	461120000
Protein0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7868100	0	5302700	6659500	0	23959000	24502000	22124000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42878000	56130000	53726000	104010000	56966000	360620000	39912000	6051400	6412400	4232200	0	0	0	0	0	0	0	0
Protein0022	3670000	30743000	2978800	2063100	3404800	0	0	17789000	4727100	12430000	0	0	0	0	0	50658000	22033000	30026000	77587000	99505000	41576000	208740000	1026400000	2671200000	625720000	3023400000	7778300000	2391600000	372340000	153090000	109930000	294430000	29959000	21179000	25587000	92795000	46993000	66834000	121750000	187550000	12915000	27051000	8236900	17944000	13382000	4264500	18486000	27968000	14061000	13323000	5806200	14397000	28555000	0	17273000	0	0	0	8962200	0	0	25094000	70543000	961480000	760930000	7887900000	3239700000	14002000000	927400000	380130000	2463400000	155630000	669970000	159290000	27087000	27862000	18554000	60560000	41129000	133970000	67626000	25375000	15742000	20612000	11723000	79609000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8734000	52129000	442620000	572150000	661960000	494610000	565320000	4524500000	921320000	407330000	454890000	361650000	259360000	341350000	115720000	100840000	42590000	58357000	26096000	42164000
Protein0023	238590000	731180000	402850000	234630000	352120000	71258000	91945000	297500000	94097000	204400000	187170000	241940000	437370000	108520000	85852000	3099100000	564750000	1953100000	2243900000	2762000000	1352100000	5063300000	33058000000	67576000000	20097000000	84111000000	1.69E+11	84354000000	24286000000	7763300000	9285600000	16855000000	2213600000	2056000000	2606600000	3941000000	1434600000	1809100000	3112700000	6046400000	267140000	431410000	162880000	204750000	104110000	156440000	132320000	233830000	156660000	375780000	106590000	100780000	352600000	15780000	419060000	29756000	123700000	57025000	182540000	264020000	831490000	2313400000	5075600000	39749000000	33675000000	1.48E+11	1.15E+11	1.89E+11	54051000000	24247000000	39926000000	5818500000	15144000000	6308800000	1114600000	1470300000	569560000	1029700000	674470000	2762800000	1008000000	646530000	270680000	168720000	99861000	957190000	63161000	41282000	27777000	46059000	42339000	17883000	9065600	29833000	32897000	39232000	40690000	7499400	54261000	84126000	735590000	3118300000	16234000000	17662000000	15894000000	20035000000	16652000000	82788000000	32034000000	8002800000	8094600000	5407700000	4729300000	8359900000	2048800000	1910300000	1147300000	1112900000	481480000	581220000
Protein0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7564600	40759000	4206700	78509000	203580000	173310000	21157000	5326700	3606200	14636000	0	0	0	0	0	0	0	0	2747600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7052400	9852700	384090000	353230000	1992500000	1303800000	20709000000	733850000	325960000	854910000	72353000	214670000	62299000	4470600	0	0	0	0	11305000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109200000	16026000	124110000	149680000	191090000	1661000000	441090000	125240000	173860000	36567000	33785000	96620000	26609000	17055000	4221100	2967800	0	0
Protein0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16859000	14453000	17052000	0	0	0	0	0	3484600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44719000	54445000	50165000	39282000	34961000	50255000	18346000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39114000	163800000	1233600000	5133200000	4429900000	4355100000	3147300000	3915000000	7625200	6526000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5585100	25914000	219530000	1521400000	9601300000	17575000000	15377000000	13429000000	4334700000	53454000	53496000	15669000	7827900	2993400	4558500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23009000	296720000	555970000	2130200000	7454300000	7222000000	4404300000	2310200000
Protein0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361630000	311460000	181860000	185900000	154040000	252310000	1555800000	2343900000	4975200000	1874100000	2359500000	1825500000	1422600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6772600	87702000	1520800000	3313400000	2625800000	3498000000	1599700000	1865000000	284490000	1035100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16388000	47282000	2418200000	1326700000	2878500000	1302000000	1095600000	300810000	199220000
Protein0028	15262000	16262000	0	0	0	7011500	4407000	19644000	12692000	23231000	3743300	0	9092500	32888000	46195000	28903000	12922000	190410000	40597000	125710000	59321000	287170000	111340000	37616000	373830000	548020000	270950000	91728000	212020000	10264000000	7485300000	21541000000	79982000000	81082000000	1.27E+11	1.11E+11	1.19E+11	1.20E+11	1.37E+11	1.77E+11	8036900	9556100	8300500	0	7837600	45111000	6268200	3577900	5619400	20879000	0	0	6990200	0	11813000	26808000	11198000	13833000	24962000	28375000	59457000	27115000	0	0	442300000	521620000	227040000	15153000	67170000	266580000	611150000	11861000000	18638000000	21665000000	39448000000	42600000000	41557000000	27468000000	29319000000	12738000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11423000	0	0	11130000	35425000	11844000	50596000	12477000	167870000	700770000	2952800000	17650000000	47658000000	40645000000	24756000000	21622000000	39483000000	30859000000	24505000000	17339000000
